Site,Session,PSNR,MSE,NMI,SSIM,SoftwareVersion,Temperature
P0020,202404,33.34980104,0.002580826,1.466122469,0.984243863,8.7,24
P0020,202404,33.60821411,0.002822147,1.467406682,0.982683065,8.7,23
P0020,202404,33.76688253,0.002851676,1.468458101,0.98317843,8.7,20
P0020,202404,34.16874692,0.002775908,1.473511427,0.983385682,8.7,20
P0020,202404,34.01349024,0.002691518,1.473400689,0.983828876,8.7,20
P0020,202404,34.86982773,0.002706582,1.482771181,0.984081265,8.7,20
P0020,202404,33.72895147,0.002827315,1.468796104,0.982497503,8.7,20
P0023,202309,33.25892202,0.002796656,1.461516071,0.979511681,8.6,23
P0023,202403,33.35936652,0.002536798,1.465950305,0.981175015,8.6,24
P0023,202403,32.99845188,0.002459177,1.462082121,0.981586312,8.6,24
P0023,202403,33.52902939,0.002341091,1.470205257,0.982407827,8.6,24
P0027,202310,29.45771393,0.005424464,1.402276942,0.96201356,8.61,24
P0027,202311,29.08385794,0.006226464,1.393403712,0.954730806,8.61,24
P0027,202403,30.79137593,0.004316972,1.422353994,0.969192842,8.61,23
P0027,202403,30.48893462,0.004291908,1.417994723,0.967758231,8.61,24
P0027,202403,30.63077261,0.004246458,1.420546836,0.968782842,8.61,24
P0027,202403,30.28388184,0.004383594,1.417177872,0.96791513,8.61,23
P0027,202403,30.46476619,0.004318908,1.417845358,0.968138843,8.61,23
P0027,202403,30.65508156,0.004027114,1.422368036,0.970685534,8.61,23
P0027,202403,30.55920699,0.004545891,1.41796116,0.967153029,8.61,24
P0027,202403,30.40928944,0.004189513,1.418947478,0.968683205,8.61,24
P0027,202403,30.63176763,0.004067641,1.421851476,0.971592801,8.61,24
P0027,202404,29.84313602,0.005218433,1.406432322,0.961316204,8.61,24
P0027,202404,30.60946467,0.004168385,1.420662013,0.97001913,8.61,24
P0027,202404,29.85245203,0.00433516,1.411331005,0.968146488,8.61,24
P0027,202404,30.43441718,0.00441112,1.416652571,0.967628061,8.61,24
P0027,202404,30.30434613,0.004637598,1.414337631,0.965499743,8.61,24
P0027,202404,32.31999051,0.003007515,1.449653968,0.975143614,8.8,24
P0029,202402,33.62796607,0.002708651,1.470789211,0.983033502,8.7,24
P0029,202402,33.68042906,0.002598249,1.472724867,0.983293443,8.7,22
P0029,202402,33.39873507,0.002532556,1.468301078,0.983605497,8.7,22
P0029,202402,33.20716223,0.002792319,1.465343707,0.982453716,8.7,23
P0029,202402,33.8280111,0.002571425,1.471551964,0.984006515,8.7,23
P0029,202402,34.24723138,0.002566785,1.476540773,0.984246619,8.7,23
P0029,202402,33.52397435,0.002680652,1.466929394,0.983390546,8.7,24
P0029,202402,33.48150346,0.002691099,1.466566753,0.983229482,8.7,24
P0029,202402,33.25154587,0.002771982,1.463226761,0.982692369,8.7,24
P0029,202402,33.52181371,0.002507565,1.468197067,0.98441533,8.7,24
P0029,202402,33.34329839,0.002566449,1.466077286,0.983895105,8.7,24
P0029,202402,33.45761676,0.002683096,1.465941238,0.983856718,8.7,24
P0029,202402,34.14059822,0.002763011,1.472995168,0.982870529,8.7,24
P0029,202403,34.14059822,0.002763011,1.472995168,0.982870529,8.7,24
P0029,202403,33.84913852,0.002652088,1.470644114,0.983493101,8.7,24
P0029,202403,33.83068711,0.002528939,1.471563948,0.984142371,8.7,24
P0029,202403,33.35394829,0.002591625,1.46602541,0.983487776,8.7,24
P0029,202403,33.58070029,0.002677858,1.467873776,0.983077302,8.7,24
P0029,202403,33.59107607,0.002563636,1.469102254,0.983978261,8.7,24
P0029,202403,32.93847703,0.002677797,1.459491962,0.982617041,8.7,24
P0029,202403,32.93847703,0.002677797,1.459491962,0.982617041,8.7,24
P0029,202403,33.5453398,0.002545137,1.467447215,0.983813426,8.7,24
P0029,202403,32.51747857,0.002778611,1.454696408,0.981915706,8.7,24
P0029,202403,33.42467269,0.002587384,1.466183778,0.983417693,8.7,24
P0029,202403,32.79553952,0.002713393,1.458774085,0.982051764,8.7,24
P0029,202403,32.99175425,0.002660774,1.46141679,0.982325141,8.7,24
P0029,202404,33.17265666,0.002604222,1.462734266,0.983162945,8.7,24
P0029,202404,34.9224585,0.002430786,1.48668165,0.984768065,8.7,24
P0029,202404,33.13117426,0.002582943,1.46298773,0.983585564,8.7,22
P0030,202402,32.48947485,0.003285914,1.447285124,0.976167281,8.7,24
P0030,202402,33.39131085,0.002427008,1.466731936,0.984680047,8.7,24
P0030,202402,33.7215604,0.002472242,1.469723161,0.985066384,8.7,24
P0030,202402,33.35190692,0.00242175,1.466654206,0.98472329,8.7,24
P0030,202402,33.09749083,0.002689963,1.460912296,0.983618132,8.7,24
P0031,202403,33.51417296,0.002665665,1.465279064,0.98375356,8.61,24
P0031,202403,32.80797346,0.002967583,1.453029566,0.981735956,8.61,20
P0031,202403,32.78710526,0.002578459,1.456948432,0.984297761,8.61,20
P0039,202309,33.72365768,0.002502917,1.472458347,0.982039949,8.61,24
P0039,202309,33.74630043,0.002498718,1.470960363,0.982092618,8.61,24
P0039,202311,33.0336132,0.002592698,1.462247445,0.981199784,8.61,24
P0039,202311,33.12744382,0.002573351,1.463579513,0.981102962,8.61,20
P0039,202311,33.19529126,0.002599914,1.464754878,0.980269111,8.61,24
P0039,202311,32.96518109,0.002795731,1.460490005,0.979251163,8.61,24
P0039,202311,32.71722956,0.002652369,1.457775046,0.980741048,8.61,24
P0039,202311,33.18863468,0.002625272,1.464120363,0.980407017,8.61,24
P0039,202311,32.78491055,0.002873488,1.457237569,0.978667132,8.61,24
P0039,202311,33.70394741,0.00244139,1.471462118,0.982279388,8.61,24
P0039,202311,32.50720373,0.002574289,1.455806999,0.981599782,8.61,24
P0039,202311,32.70330309,0.00249441,1.458981799,0.982158688,8.61,24
P0039,202311,32.65125532,0.003024817,1.454122216,0.977180882,8.61,24
P0039,202311,33.78917256,0.002490574,1.471971359,0.981585028,8.61,24
P0039,202311,33.79864907,0.002536226,1.471292957,0.981059901,8.61,24
P0039,202312,32.7361609,0.002672903,1.458130111,0.979784192,8.61,24
P0039,202312,32.47159941,0.002808186,1.453952986,0.978816964,8.61,24
P0039,202312,32.39459639,0.003003488,1.450987058,0.976201118,8.61,24
P0039,202312,33.22666426,0.002662384,1.463447291,0.980436369,8.61,24
P0039,202312,32.61964056,0.003072349,1.452506452,0.975209914,8.61,24
P0039,202312,33.65696895,0.002449212,1.470341872,0.981857818,8.61,24
P0039,202312,33.33354356,0.002514089,1.46635889,0.981319976,8.61,24
P0039,202312,33.29564484,0.002511867,1.465648358,0.981504846,8.61,24
P0039,202312,33.02577172,0.00249476,1.463412666,0.981645309,8.61,24
P0039,202312,33.44102806,0.002466809,1.468608895,0.982109491,8.61,24
P0039,202312,32.75986739,0.002670474,1.458250264,0.980887028,8.61,24
P0039,202312,33.28477383,0.002534015,1.465827423,0.981326997,8.61,24
P0039,202312,33.63640095,0.002456555,1.470751598,0.981761047,8.61,24
P0039,202312,33.80653835,0.002400114,1.473273313,0.982432839,8.61,24
P0039,202401,33.35605948,0.002499867,1.466752173,0.982123883,8.61,24
P0039,202401,32.85082944,0.002544252,1.460434739,0.981296021,8.61,24
P0039,202401,32.99579249,0.002736754,1.46001768,0.980351487,8.61,24
P0039,202401,33.38734461,0.002408645,1.467626955,0.982778899,8.61,24
P0039,202401,33.44769617,0.002511875,1.467740692,0.98217867,8.61,24
P0039,202401,33.36169063,0.002447687,1.466435252,0.982821737,8.61,24
P0039,202401,33.05495001,0.002486252,1.462484928,0.981650125,8.61,24
P0039,202401,33.25592118,0.00253299,1.464683231,0.981170325,8.61,24
P0039,202401,33.13917287,0.002520769,1.462972112,0.982189012,8.61,24
P0039,202401,34.0019693,0.002398676,1.474798346,0.982399678,8.61,24
P0039,202401,33.08480625,0.002679668,1.461177264,0.980836306,8.61,24
P0039,202401,33.67013379,0.00248644,1.470578845,0.982106067,8.61,24
P0039,202401,33.82946876,0.002499209,1.472541051,0.981616371,8.61,24
P0039,202401,33.05875409,0.002582091,1.462588212,0.981046914,8.61,24
P0039,202402,33.80950363,0.002448393,1.472133713,0.982705131,8.61,24
P0039,202402,33.60190122,0.002553238,1.469254724,0.981658178,8.61,24
P0039,202402,33.82494483,0.002445136,1.471588165,0.982651666,8.61,24
