Unnamed: 0,MSE,PSNR,NMI,SSIM,Site,Session,SoftwareVersion,Temperature
0.0,0.0026259930996394,34.73004491086452,1.4872955005001065,0.9833539617094084,,,,
0.0,0.0023441644814176,33.84151711119562,1.4743847039144444,0.9825799195136398,,,,
0.0,0.0026622574753527,34.314306524390766,1.4817241632290097,0.982804116328284,,,,
0.0,0.002332520369528,33.92987952781479,1.474569815016621,0.9835192157928596,,,,
0.0,0.0023714996696782,33.894681348426026,1.4739633165723256,0.9830039086123622,,,,
0.0,0.0027821206208795,33.27983250983381,1.4589120101460122,0.9839470016959562,,,,
0.0,0.002653755498198,34.34144567285008,1.4773440039398085,0.9841151163018588,,,,
0.0,0.002657835314691,34.0662375589002,1.477270971570677,0.981927627009083,,,,
0.0,0.0043168204291868,30.791528587541077,1.4223673893674451,0.969192126406404,,,,
0.0,0.0025001325240766,33.79641477403658,1.470404169961908,0.9830995835191124,,,,
0.0,0.0027357304913032,33.6466759856158,1.463895969779856,0.983948331489102,,,,
0.0,0.002519929837838,34.62869128667781,1.4857875929931477,0.9831895566733873,,,,
0.0,0.002827499256046,33.72866894920116,1.4687997481976365,0.982496542267716,,,,
0.0,0.0028875740287815,33.760997512833136,1.4700486536303312,0.9795315953126198,,,,
0.0,0.0030074011558764,32.32015526323228,1.449649765607161,0.975147770169713,,,,
0.0,0.0026951558781991,33.03967408359159,1.4572531017340329,0.9839499969239972,,,,
0.0,0.0027569654612353,33.22692175850554,1.462959390367935,0.9801724042895448,,,,
0.0,0.0031581895687603,33.03909423877508,1.4572140746715263,0.972192320571505,,,,
0.0,0.0024004004424195,34.07945074182263,1.4778851115773826,0.9833435575715312,,,,
0.0,0.0027142381962881,34.518931806823126,1.4846538972642924,0.9827828316188356,,,,
0.0,0.0028343439178995,33.72823374002144,1.468517085352896,0.9830842153529918,,,,
0.0,0.0025632306179495,34.72394848529168,1.4879838252680118,0.9834585178658704,,,,
0.0,0.0027440826652855,34.59512675412502,1.4829404083793964,0.9819967857830244,,,,
0.0,0.0028516606559789,33.76690540363456,1.4684517869232985,0.9831782796319308,,,,
0.0,0.0027572170537383,32.96721439246234,1.4561413047420382,0.9838266056094914,,,,
0.0,0.0029302297183595,32.66410385552176,1.4544555722451766,0.9757284341253658,,,,
